Album,Track
1989 (Taylor's Version) [Deluxe],Welcome To New York (Taylor's Version)
1989 (Taylor's Version) [Deluxe],Blank Space (Taylor's Version)
1989 (Taylor's Version) [Deluxe],Style (Taylor's Version)
1989 (Taylor's Version) [Deluxe],Out Of The Woods (Taylor's Version)
1989 (Taylor's Version) [Deluxe],All You Had To Do Was Stay (Taylor's Version)
1989 (Taylor's Version) [Deluxe],Shake It Off (Taylor's Version)
1989 (Taylor's Version) [Deluxe],I Wish You Would (Taylor's Version)
1989 (Taylor's Version) [Deluxe],Bad Blood (Taylor's Version)
1989 (Taylor's Version) [Deluxe],Wildest Dreams (Taylor's Version)
1989 (Taylor's Version) [Deluxe],How You Get The Girl (Taylor's Version)
1989 (Taylor's Version) [Deluxe],This Love (Taylor’s Version)
1989 (Taylor's Version) [Deluxe],I Know Places (Taylor's Version)
1989 (Taylor's Version) [Deluxe],Clean (Taylor's Version)
1989 (Taylor's Version) [Deluxe],Wonderland (Taylor's Version)
1989 (Taylor's Version) [Deluxe],You Are In Love (Taylor's Version)
1989 (Taylor's Version) [Deluxe],New Romantics (Taylor's Version)
1989 (Taylor's Version) [Deluxe],"""Slut!"" (Taylor's Version) (From The Vault)"
1989 (Taylor's Version) [Deluxe],Say Don't Go (Taylor's Version) (From The Vault)
1989 (Taylor's Version) [Deluxe],Now That We Don't Talk (Taylor's Version) (From The Vault)
1989 (Taylor's Version) [Deluxe],Suburban Legends (Taylor's Version) (From The Vault)
1989 (Taylor's Version) [Deluxe],Is It Over Now? (Taylor's Version) (From The Vault)
1989 (Taylor's Version) [Deluxe],Bad Blood (feat. Kendrick Lamar) (Taylor's Version)
1989 (Taylor's Version),Welcome To New York (Taylor's Version)
1989 (Taylor's Version),Blank Space (Taylor's Version)
1989 (Taylor's Version),Style (Taylor's Version)
1989 (Taylor's Version),Out Of The Woods (Taylor's Version)
1989 (Taylor's Version),All You Had To Do Was Stay (Taylor's Version)
1989 (Taylor's Version),Shake It Off (Taylor's Version)
1989 (Taylor's Version),I Wish You Would (Taylor's Version)
1989 (Taylor's Version),Bad Blood (Taylor's Version)
1989 (Taylor's Version),Wildest Dreams (Taylor's Version)
1989 (Taylor's Version),How You Get The Girl (Taylor's Version)
1989 (Taylor's Version),This Love (Taylor’s Version)
1989 (Taylor's Version),I Know Places (Taylor's Version)
1989 (Taylor's Version),Clean (Taylor's Version)
1989 (Taylor's Version),Wonderland (Taylor's Version)
