Track Name,Artist Name,Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Find Me On Mars,Terrance Escobar,1RWqCKIOWu8prvPfHN284v,0.858,0.654,11,-6.787,1,0.2,0.207,0.0,0.0886,0.395,124.949,audio_features,1RWqCKIOWu8prvPfHN284v,spotify:track:1RWqCKIOWu8prvPfHN284v,https://api.spotify.com/v1/tracks/1RWqCKIOWu8prvPfHN284v,https://api.spotify.com/v1/audio-analysis/1RWqCKIOWu8prvPfHN284v,169012,4
*OTP*,Terrance Escobar,5irPKTtQlpDWUfi5hMbVXl,0.822,0.425,11,-9.969,1,0.323,0.14,0.0,0.264,0.253,134.701,audio_features,5irPKTtQlpDWUfi5hMbVXl,spotify:track:5irPKTtQlpDWUfi5hMbVXl,https://api.spotify.com/v1/tracks/5irPKTtQlpDWUfi5hMbVXl,https://api.spotify.com/v1/audio-analysis/5irPKTtQlpDWUfi5hMbVXl,142263,4
Bout 2 Break,Wavy Jone$,27Y75cmlKjAFYYCmENDFbi,0.805,0.742,6,-11.231,0,0.11,0.00453,1.41e-05,0.104,0.881,149.911,audio_features,27Y75cmlKjAFYYCmENDFbi,spotify:track:27Y75cmlKjAFYYCmENDFbi,https://api.spotify.com/v1/tracks/27Y75cmlKjAFYYCmENDFbi,https://api.spotify.com/v1/audio-analysis/27Y75cmlKjAFYYCmENDFbi,118174,4
get going,Kid Moon,0x3nWUkcFSu9xi3g0VE56i,0.626,0.33,5,-12.995,0,0.0293,0.449,0.000131,0.101,0.715,153.952,audio_features,0x3nWUkcFSu9xi3g0VE56i,spotify:track:0x3nWUkcFSu9xi3g0VE56i,https://api.spotify.com/v1/tracks/0x3nWUkcFSu9xi3g0VE56i,https://api.spotify.com/v1/audio-analysis/0x3nWUkcFSu9xi3g0VE56i,162082,4
Birds of a Feather C1s1 225,CHXPO,0EMJHcFabab7WSdWxVax00,0.697,0.472,1,-7.515,1,0.288,0.471,0.0,0.404,0.224,90.496,audio_features,0EMJHcFabab7WSdWxVax00,spotify:track:0EMJHcFabab7WSdWxVax00,https://api.spotify.com/v1/tracks/0EMJHcFabab7WSdWxVax00,https://api.spotify.com/v1/audio-analysis/0EMJHcFabab7WSdWxVax00,200960,4
Theme Song,Sig.Carlito,5F55ZyyTltWGrrPyciQT9J,0.513,0.848,1,-5.584,1,0.0398,0.0715,0.0,0.414,0.763,146.074,audio_features,5F55ZyyTltWGrrPyciQT9J,spotify:track:5F55ZyyTltWGrrPyciQT9J,https://api.spotify.com/v1/tracks/5F55ZyyTltWGrrPyciQT9J,https://api.spotify.com/v1/audio-analysis/5F55ZyyTltWGrrPyciQT9J,121671,4
Whole Thang,UnoTheActivist,1cvIVZ5KuxRM4PU3d2Jj9q,0.767,0.764,10,-5.207,0,0.0493,0.00555,0.0,0.318,0.567,113.976,audio_features,1cvIVZ5KuxRM4PU3d2Jj9q,spotify:track:1cvIVZ5KuxRM4PU3d2Jj9q,https://api.spotify.com/v1/tracks/1cvIVZ5KuxRM4PU3d2Jj9q,https://api.spotify.com/v1/audio-analysis/1cvIVZ5KuxRM4PU3d2Jj9q,222276,4
BeBe (feat. LC Levi),Thouxanbanfauni,5DpV7joxIC73D6QAZxisok,0.75,0.671,4,-7.508,0,0.267,0.0146,0.0,0.117,0.421,80.028,audio_features,5DpV7joxIC73D6QAZxisok,spotify:track:5DpV7joxIC73D6QAZxisok,https://api.spotify.com/v1/tracks/5DpV7joxIC73D6QAZxisok,https://api.spotify.com/v1/audio-analysis/5DpV7joxIC73D6QAZxisok,120035,4
5unna,Homixide Gang,2M1LHRfp0vsJKjKfKxOUx3,0.688,0.641,11,-6.327,1,0.329,0.000129,0.0,0.227,0.553,146.223,audio_features,2M1LHRfp0vsJKjKfKxOUx3,spotify:track:2M1LHRfp0vsJKjKfKxOUx3,https://api.spotify.com/v1/tracks/2M1LHRfp0vsJKjKfKxOUx3,https://api.spotify.com/v1/audio-analysis/2M1LHRfp0vsJKjKfKxOUx3,100415,4
deep pockets,SheLovesMeechie,1Era2abGQbE5UVpWQoFb6I,0.724,0.612,8,-8.989,1,0.236,0.0212,0.0,0.113,0.666,123.051,audio_features,1Era2abGQbE5UVpWQoFb6I,spotify:track:1Era2abGQbE5UVpWQoFb6I,https://api.spotify.com/v1/tracks/1Era2abGQbE5UVpWQoFb6I,https://api.spotify.com/v1/audio-analysis/1Era2abGQbE5UVpWQoFb6I,121851,4
Best of Me,UnoTheActivist,6BbfNUFAX7z1FAWdRPBiXW,0.612,0.295,11,-14.387,0,0.0386,0.577,1.9e-05,0.124,0.137,127.238,audio_features,6BbfNUFAX7z1FAWdRPBiXW,spotify:track:6BbfNUFAX7z1FAWdRPBiXW,https://api.spotify.com/v1/tracks/6BbfNUFAX7z1FAWdRPBiXW,https://api.spotify.com/v1/audio-analysis/6BbfNUFAX7z1FAWdRPBiXW,136485,4
<3x girl,wrldn3ro,4JBmaJ1LLkmbbIigr5PJsj,0.786,0.374,5,-16.218,0,0.457,0.0207,0.00765,0.143,0.134,175.05,audio_features,4JBmaJ1LLkmbbIigr5PJsj,spotify:track:4JBmaJ1LLkmbbIigr5PJsj,https://api.spotify.com/v1/tracks/4JBmaJ1LLkmbbIigr5PJsj,https://api.spotify.com/v1/audio-analysis/4JBmaJ1LLkmbbIigr5PJsj,57689,4
<3x girl - Devstacks Remix,wrldn3ro,4AOGEzfk8WtjzOUw6c7vPO,0.757,0.383,5,-16.097,0,0.398,0.0353,0.00397,0.067,0.147,175.022,audio_features,4AOGEzfk8WtjzOUw6c7vPO,spotify:track:4AOGEzfk8WtjzOUw6c7vPO,https://api.spotify.com/v1/tracks/4AOGEzfk8WtjzOUw6c7vPO,https://api.spotify.com/v1/audio-analysis/4AOGEzfk8WtjzOUw6c7vPO,107207,4
<3x girl,wrldn3ro,4JBmaJ1LLkmbbIigr5PJsj,0.786,0.374,5,-16.218,0,0.457,0.0207,0.00765,0.143,0.134,175.05,audio_features,4JBmaJ1LLkmbbIigr5PJsj,spotify:track:4JBmaJ1LLkmbbIigr5PJsj,https://api.spotify.com/v1/tracks/4JBmaJ1LLkmbbIigr5PJsj,https://api.spotify.com/v1/audio-analysis/4JBmaJ1LLkmbbIigr5PJsj,57689,4
<3x girl - Devstacks Remix,wrldn3ro,4AOGEzfk8WtjzOUw6c7vPO,0.757,0.383,5,-16.097,0,0.398,0.0353,0.00397,0.067,0.147,175.022,audio_features,4AOGEzfk8WtjzOUw6c7vPO,spotify:track:4AOGEzfk8WtjzOUw6c7vPO,https://api.spotify.com/v1/tracks/4AOGEzfk8WtjzOUw6c7vPO,https://api.spotify.com/v1/audio-analysis/4AOGEzfk8WtjzOUw6c7vPO,107207,4
Tell Em,Cochise,7nc7mlSdWYeFom84zZ8Wr8,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,audio_features,7nc7mlSdWYeFom84zZ8Wr8,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,https://api.spotify.com/v1/tracks/7nc7mlSdWYeFom84zZ8Wr8,https://api.spotify.com/v1/audio-analysis/7nc7mlSdWYeFom84zZ8Wr8,180380,4
Weak Hoes,UnoTheActivist,35f1fdX8l2EfjeG4gsivLH,0.505,0.657,11,-7.756,0,0.268,0.0544,0.000164,0.243,0.419,74.724,audio_features,35f1fdX8l2EfjeG4gsivLH,spotify:track:35f1fdX8l2EfjeG4gsivLH,https://api.spotify.com/v1/tracks/35f1fdX8l2EfjeG4gsivLH,https://api.spotify.com/v1/audio-analysis/35f1fdX8l2EfjeG4gsivLH,118633,4
Time To Live,UnoTheActivist,1C1TPX3mT0z3nZGmOmBDjX,0.597,0.481,1,-10.423,1,0.138,0.00111,2.64e-05,0.379,0.528,162.836,audio_features,1C1TPX3mT0z3nZGmOmBDjX,spotify:track:1C1TPX3mT0z3nZGmOmBDjX,https://api.spotify.com/v1/tracks/1C1TPX3mT0z3nZGmOmBDjX,https://api.spotify.com/v1/audio-analysis/1C1TPX3mT0z3nZGmOmBDjX,105300,4
C.R.E.a.M.,SpaceGhostPurrp,2zAQX4ccN7Y6cS1NP5M8Pw,0.627,0.886,0,-5.417,0,0.249,0.276,0.0,0.517,0.491,137.134,audio_features,2zAQX4ccN7Y6cS1NP5M8Pw,spotify:track:2zAQX4ccN7Y6cS1NP5M8Pw,https://api.spotify.com/v1/tracks/2zAQX4ccN7Y6cS1NP5M8Pw,https://api.spotify.com/v1/audio-analysis/2zAQX4ccN7Y6cS1NP5M8Pw,141113,4
Dark Trap 2k20,Trippjones,4Dhj70woOsaV1xMEvJcXzF,0.458,0.777,1,-7.166,1,0.443,0.075,0.0,0.284,0.365,170.332,audio_features,4Dhj70woOsaV1xMEvJcXzF,spotify:track:4Dhj70woOsaV1xMEvJcXzF,https://api.spotify.com/v1/tracks/4Dhj70woOsaV1xMEvJcXzF,https://api.spotify.com/v1/audio-analysis/4Dhj70woOsaV1xMEvJcXzF,128514,4
Say So,Doja Cat,3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,audio_features,3Dv1eDb0MEgF93GpLXlucZ,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/tracks/3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/audio-analysis/3Dv1eDb0MEgF93GpLXlucZ,237893,4
Maybach,Snortcaine,3OEVIycQEAeLmFgEG4X3H0,0.597,0.613,4,-5.039,0,0.0467,0.00359,0.000167,0.349,0.331,140.042,audio_features,3OEVIycQEAeLmFgEG4X3H0,spotify:track:3OEVIycQEAeLmFgEG4X3H0,https://api.spotify.com/v1/tracks/3OEVIycQEAeLmFgEG4X3H0,https://api.spotify.com/v1/audio-analysis/3OEVIycQEAeLmFgEG4X3H0,97106,4
